DR_NO,Date_Rptd,DATE_OCC,TIME_OCC,AREA,AREA_NAME,Rpt_Dist_No,Part_1_2,Crm_Cd,Crm_Cd_Desc,Mocodes,Vict_Age,Vict_Sex,Vict_Descent,Premis_Cd,Premis_Desc,Weapon_Used_Cd,Weapon_Desc,Status,Status_Desc,Crm_Cd_1,Crm_Cd_2,Crm_Cd_3,Crm_Cd_4,LOCATION,Cross_Street,LAT,LON
100105586,01/30/2010 12:00:00 AM,01/22/2010 12:00:00 AM,1900,01,Central,0195,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,24,M,B,504,OTHER RESIDENCE,,,IC,Invest Cont,341,,,,1800 S  MAIN                         ST,,34.0317,-118.2641
100105592,01/30/2010 12:00:00 AM,01/30/2010 12:00:00 AM,1530,01,Central,0185,2,946,OTHER MISCELLANEOUS CRIME,0601 0914,41,M,W,102,SIDEWALK,,,IC,Invest Cont,946,,,,1100 S  LOS ANGELES                  ST,,34.0384,-118.2571
100105594,01/30/2010 12:00:00 AM,01/30/2010 12:00:00 AM,0945,01,Central,0148,1,220,ATTEMPTED ROBBERY,0302 0432 0906 0907 1100 1402,30,M,B,102,SIDEWALK,102,HAND GUN,AO,Adult Other,220,998,,,6TH,STANFORD,34.0403,-118.2421
100105595,01/30/2010 12:00:00 AM,01/30/2010 12:00:00 AM,0945,01,Central,0158,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0411 0417 0429,33,M,B,102,SIDEWALK,207,OTHER KNIFE,AO,Adult Other,230,,,,6TH,STANFORD,34.0403,-118.2421
100105596,01/30/2010 12:00:00 AM,01/30/2010 12:00:00 AM,1830,01,Central,0155,2,624,BATTERY - SIMPLE ASSAULT,0400 2000,49,F,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,6TH,WALL,34.0435,-118.2471
100105597,01/30/2010 12:00:00 AM,01/30/2010 12:00:00 AM,1645,01,Central,0162,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0416 2000,42,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236,,,,700 S  OLIVE                        ST,,34.0467,-118.2556
100105605,01/31/2010 12:00:00 AM,01/31/2010 12:00:00 AM,0305,01,Central,0153,2,624,BATTERY - SIMPLE ASSAULT,0400 0416,29,M,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,6TH,SPRING                       ST,34.0463,-118.2515
100105607,01/30/2010 12:00:00 AM,01/30/2010 12:00:00 AM,1745,01,Central,0127,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,0,M,O,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,440,,,,600 N  ALAMEDA                      ST,,34.0533,-118.2379
100105609,01/31/2010 12:00:00 AM,01/31/2010 12:00:00 AM,0715,01,Central,0127,2,624,BATTERY - SIMPLE ASSAULT,1212 1501,21,M,B,726,POLICE FACILITY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,100 N  LOS ANGELES                  ST,,34.0515,-118.2424
100105611,01/31/2010 12:00:00 AM,01/31/2010 12:00:00 AM,0710,01,Central,0111,1,330,BURGLARY FROM VEHICLE,0344 1609,21,F,O,108,PARKING LOT,,,IC,Invest Cont,330,,,,500 N  FIGUEROA                     ST,,34.0617,-118.2469
100105612,01/31/2010 12:00:00 AM,01/30/2010 12:00:00 AM,2200,01,Central,0176,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,25,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,7TH                          ST,SAN PEDRO                    ST,34.0407,-118.2468
100105616,01/31/2010 12:00:00 AM,01/31/2010 12:00:00 AM,1145,01,Central,0154,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0408 0416 2000,52,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,500 S  MAIN                         ST,,34.0467,-118.2485
100105621,01/31/2010 12:00:00 AM,01/31/2010 12:00:00 AM,1035,01,Central,0152,2,624,BATTERY - SIMPLE ASSAULT,0400,55,M,W,109,PARK/PLAYGROUND,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,6TH,OLIVE,34.0481,-118.2542
100105622,01/31/2010 12:00:00 AM,01/31/2010 12:00:00 AM,1400,01,Central,0181,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,36,F,B,710,OTHER PREMISE,,,IC,Invest Cont,341,,,,1100    CHERRY                       ST,,34.0451,-118.27
100105623,01/31/2010 12:00:00 AM,01/31/2010 12:00:00 AM,1600,01,Central,0182,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0701,40,F,O,108,PARKING LOT,,,IC,Invest Cont,341,,,,12TH                         ST,FIGUEROA                     ST,34.0423,-118.2666
100105624,01/31/2010 12:00:00 AM,01/31/2010 12:00:00 AM,1240,01,Central,0118,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0432 1402,69,M,H,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,AO,Adult Other,930,998,,,300    BLOOM                        ST,,34.0633,-118.229
100105629,02/01/2010 12:00:00 AM,01/31/2010 12:00:00 AM,2315,01,Central,0161,2,624,BATTERY - SIMPLE ASSAULT,0416 9999,40,M,O,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,999,,,700 S  FIGUEROA                     ST,,34.0494,-118.2599
100105631,01/29/2010 12:00:00 AM,01/29/2010 12:00:00 AM,2330,01,Central,0122,2,920,KIDNAPPING - GRAND ATTEMPT,0400,24,F,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,920,,,,TEMPLE                       ST,FIGUEROA                     ST,34.0598,-118.2485
100105632,01/31/2010 12:00:00 AM,01/31/2010 12:00:00 AM,2230,01,Central,0155,1,210,ROBBERY,0400 0416 1218,59,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,5TH                          ST,WALL                         ST,34.0449,-118.2458
100105633,01/31/2010 12:00:00 AM,01/31/2010 12:00:00 AM,1800,01,Central,0152,1,210,ROBBERY,0344 0416,33,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,7TH                          ST,HOPE                         ST,34.048,-118.2577
100105639,01/31/2010 12:00:00 AM,01/31/2010 12:00:00 AM,2115,01,Central,0181,1,330,BURGLARY FROM VEHICLE,0344,25,M,W,108,PARKING LOT,,,IC,Invest Cont,330,,,,1200 S  FIGUEROA                     ST,,34.0423,-118.2666
100105640,02/01/2010 12:00:00 AM,01/31/2010 12:00:00 AM,1845,01,Central,0141,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,24,F,W,108,PARKING LOT,,,IC,Invest Cont,420,,,,300 S  FIGUEROA                     ST,,34.0551,-118.2545
100105641,01/31/2010 12:00:00 AM,01/04/2010 12:00:00 AM,2100,01,Central,0152,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0400,19,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341,,,,600 S  FLOWER                       ST,,34.0502,-118.2574
100105644,02/01/2010 12:00:00 AM,01/29/2010 12:00:00 AM,1200,01,Central,0152,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",,49,F,A,203,OTHER BUSINESS,,,AO,Adult Other,956,,,,500 S  FLOWER                       ST,,34.0516,-118.2561
100105649,02/01/2010 12:00:00 AM,01/30/2010 12:00:00 AM,1800,01,Central,0111,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,800    ALPINE                       ST,,34.0637,-118.244
100105651,02/01/2010 12:00:00 AM,02/01/2010 12:00:00 AM,1205,01,Central,0166,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411,41,M,H,102,SIDEWALK,203,DIRK/DAGGER,IC,Invest Cont,230,,,,6TH,SAN PEDRO,34.0423,-118.2452
100105653,02/01/2010 12:00:00 AM,02/01/2010 12:00:00 AM,1400,01,Central,0185,1,210,ROBBERY,0325 0400 0416,32,F,H,406,OTHER STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,210,,,,200 E  11TH                         ST,,34.0384,-118.2571
100105655,01/27/2010 12:00:00 AM,01/24/2010 12:00:00 AM,2230,01,Central,0111,1,330,BURGLARY FROM VEHICLE,0344 1251 1300,23,F,A,108,PARKING LOT,,,IC,Invest Cont,330,,,,500 N  FIGUEROA                     ST,,34.0617,-118.2469
100105663,02/02/2010 12:00:00 AM,02/01/2010 12:00:00 AM,2025,01,Central,0147,2,946,OTHER MISCELLANEOUS CRIME,,26,M,H,101,STREET,,,AO,Adult Other,946,998,,,5TH                          ST,SAN JULIAN                   ST,34.0446,-118.245
100105664,02/02/2010 12:00:00 AM,02/01/2010 12:00:00 AM,1825,01,Central,0119,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0325,33,F,A,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,440,,,,900 N  VIGNES                       ST,,34.0566,-118.2319
100105669,02/02/2010 12:00:00 AM,02/01/2010 12:00:00 AM,1930,01,Central,0147,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,37,M,H,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,440,,,,300 E  5TH                          ST,,34.0449,-118.2458
100105670,02/02/2010 12:00:00 AM,02/01/2010 12:00:00 AM,1440,01,Central,0163,2,649,DOCUMENT FORGERY / STOLEN FELONY,9999,49,F,W,203,OTHER BUSINESS,,,IC,Invest Cont,649,,,,800 S  BROADWAY,,34.0438,-118.2547
100105672,02/02/2010 12:00:00 AM,02/01/2010 12:00:00 AM,1840,01,Central,0185,2,900,VIOLATION OF COURT ORDER,1501,34,M,W,702,OFFICE BUILDING/OFFICE,,,AO,Adult Other,900,,,,100 E  9TH                          ST,,34.0416,-118.255
100105674,02/02/2010 12:00:00 AM,02/01/2010 12:00:00 AM,2100,01,Central,0111,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,CESAR E CHAVEZ,HILL                         PL,34.0599,-118.2426
100105675,02/02/2010 12:00:00 AM,02/01/2010 12:00:00 AM,2359,01,Central,0147,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 0907 1020,39,F,O,108,PARKING LOT,218,OTHER CUTTING INSTRUMENT,IC,Invest Cont,230,,,,300 E  5TH                          ST,,34.0449,-118.2458
100105687,02/02/2010 12:00:00 AM,01/30/2010 12:00:00 AM,1200,01,Central,0159,1,330,BURGLARY FROM VEHICLE,0344 1607,30,M,W,101,STREET,,,IC,Invest Cont,330,,,,MOLINO                       ST,PALMETTO                     ST,34.0404,-118.2337
100105690,02/02/2010 12:00:00 AM,01/31/2010 12:00:00 AM,1300,01,Central,0159,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344 1300,25,F,W,101,STREET,,,IC,Invest Cont,331,,,,500    MOLINO                       ST,,34.0413,-118.2338
100105694,02/02/2010 12:00:00 AM,02/02/2010 12:00:00 AM,1215,01,Central,0134,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,35,M,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,230,,,,4TH                          ST,SPRING                       ST,34.0492,-118.2488
100105697,02/02/2010 12:00:00 AM,02/02/2010 12:00:00 AM,0515,01,Central,0119,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,900    AVILA                        ST,,34.057,-118.2327
100105698,02/02/2010 12:00:00 AM,02/02/2010 12:00:00 AM,0630,01,Central,0111,1,330,BURGLARY FROM VEHICLE,0358 1307 1609,25,M,H,108,PARKING LOT,,,AA,Adult Arrest,330,,,,900 N  BROADWAY,,34.064,-118.2375
100105706,02/02/2010 12:00:00 AM,02/02/2010 12:00:00 AM,1250,01,Central,0157,2,888,TRESPASSING,0601,30,M,W,504,OTHER RESIDENCE,,,IC,Invest Cont,888,,,,700 E  6TH                          ST,,34.0412,-118.2436
100105709,02/02/2010 12:00:00 AM,02/02/2010 12:00:00 AM,1600,01,Central,0157,2,900,VIOLATION OF COURT ORDER,0601,0,M,B,504,OTHER RESIDENCE,,,IC,Invest Cont,900,,,,500 S  SAN PEDRO                    ST,,34.0442,-118.2439
100105711,02/02/2010 12:00:00 AM,01/27/2010 12:00:00 AM,2000,01,Central,0138,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0701,29,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,200 S  SAN PEDRO                    ST,,34.0493,-118.2418
100105715,02/03/2010 12:00:00 AM,02/02/2010 12:00:00 AM,1945,01,Central,0159,2,624,BATTERY - SIMPLE ASSAULT,0400,19,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,6TH                          ST,GLADYS                       ST,34.0398,-118.2413
100105718,02/03/2010 12:00:00 AM,02/01/2010 12:00:00 AM,1300,01,Central,0142,1,330,BURGLARY FROM VEHICLE,0344,31,F,H,108,PARKING LOT,,,IC,Invest Cont,330,,,,300 S  GRAND                        AV,,34.053,-118.2513
100105732,02/03/2010 12:00:00 AM,01/10/2010 12:00:00 AM,1200,01,Central,0159,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,740,,,,800 E  4TH                          ST,,34.0433,-118.2377
100105738,02/03/2010 12:00:00 AM,02/03/2010 12:00:00 AM,0900,01,Central,0147,2,624,BATTERY - SIMPLE ASSAULT,0400,39,F,H,503,HOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,300 E  5TH                          ST,,34.0449,-118.2458
100105771,02/03/2010 12:00:00 AM,02/03/2010 12:00:00 AM,1630,01,Central,0185,2,946,OTHER MISCELLANEOUS CRIME,1402,0,M,O,203,OTHER BUSINESS,,,AA,Adult Arrest,946,998,,,300 E  12TH                         ST,,34.0363,-118.2573
100105789,02/03/2010 12:00:00 AM,02/03/2010 12:00:00 AM,1720,01,Central,0157,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1402,60,M,O,122,"VEHICLE, PASSENGER/TRUCK",,,AA,Adult Arrest,740,998,,,STANFORD,7TH,34.039,-118.2444
100105790,02/03/2010 12:00:00 AM,02/03/2010 12:00:00 AM,2145,01,Central,0192,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0334 0416 1243 1402 2000,25,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",200,KNIFE WITH BLADE 6INCHES OR LESS,AA,Adult Arrest,236,998,,,1500 S  HOPE                         ST,,34.0371,-118.2672
100105791,02/03/2010 12:00:00 AM,02/02/2010 12:00:00 AM,1300,01,Central,0182,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,30,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,341,,,,11TH                         ST,GRAND                        AV,34.0416,-118.262
100105792,02/03/2010 12:00:00 AM,02/03/2010 12:00:00 AM,2045,01,Central,0119,2,624,BATTERY - SIMPLE ASSAULT,0416 2000,23,F,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,999,,,CESAR E CHAVEZ,ALAMEDA,34.0581,-118.2371
100105793,02/03/2010 12:00:00 AM,02/03/2010 12:00:00 AM,1930,01,Central,0162,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,27,M,W,402,MARKET,,,IC,Invest Cont,440,,,,600 W  9TH                          ST,,34.0451,-118.2604
100105794,02/03/2010 12:00:00 AM,02/03/2010 12:00:00 AM,2030,01,Central,0182,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 0429 2000,0,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,1100 S  GRAND                        AV,,34.0416,-118.262
100105797,02/03/2010 12:00:00 AM,01/22/2010 12:00:00 AM,1200,01,Central,0139,2,649,DOCUMENT FORGERY / STOLEN FELONY,,47,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,649,,,,900 E  3RD                          ST,,34.0459,-118.2351
100105798,02/03/2010 12:00:00 AM,02/02/2010 12:00:00 AM,1400,01,Central,0121,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,,58,F,W,203,OTHER BUSINESS,,,IC,Invest Cont,930,,,,200 N  FIGUEROA                     ST,,34.0584,-118.2513
100105805,02/03/2010 12:00:00 AM,02/03/2010 12:00:00 AM,2350,01,Central,0174,1,210,ROBBERY,0400 1300 1402,20,F,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,998,,,LOS ANGELES                  ST,8TH                          ST,34.0419,-118.2523
100105810,02/04/2010 12:00:00 AM,02/04/2010 12:00:00 AM,0100,01,Central,0158,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,1415,22,M,H,103,ALLEY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,821,,,,6TH                          ST,KOHLER                       ST,34.0394,-118.2405
100105824,02/04/2010 12:00:00 AM,02/04/2010 12:00:00 AM,1020,01,Central,0195,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0917,25,M,H,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,440,,,,BROADWAY,VENICE,34.0342,-118.2636
100105825,02/04/2010 12:00:00 AM,02/04/2010 12:00:00 AM,0900,01,Central,0174,1,350,"THEFT, PERSON",0344 1008,63,M,W,101,STREET,,,IC,Invest Cont,350,,,,100 W  7TH                          ST,,34.0439,-118.2514
100105826,02/04/2010 12:00:00 AM,01/04/2010 12:00:00 AM,0600,01,Central,0157,2,900,VIOLATION OF COURT ORDER,0432,48,F,B,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,900,,,,6TH,CROCKER,34.0412,-118.2436
100105827,02/04/2010 12:00:00 AM,02/04/2010 12:00:00 AM,1330,01,Central,0185,2,946,OTHER MISCELLANEOUS CRIME,,25,M,H,101,STREET,,,IC,Invest Cont,946,,,,1000    SANTEE                       ST,,34.0389,-118.255
100105832,02/04/2010 12:00:00 AM,02/04/2010 12:00:00 AM,1020,01,Central,0128,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,19,F,H,203,OTHER BUSINESS,,,IC,Invest Cont,440,,,,LOS ANGELES                  ST,1ST                          ST,34.0515,-118.2424
100105836,02/04/2010 12:00:00 AM,02/04/2010 12:00:00 AM,1400,01,Central,0192,2,624,BATTERY - SIMPLE ASSAULT,0400 0401,22,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,17TH                         ST,GRAND                        AV,34.0349,-118.2669
100105840,02/04/2010 12:00:00 AM,02/04/2010 12:00:00 AM,1440,01,Central,0192,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421,31,M,W,701,HOSPITAL,,,AA,Adult Arrest,930,,,,1300 S  HOPE                         ST,,34.0395,-118.2656
100105841,02/04/2010 12:00:00 AM,02/04/2010 12:00:00 AM,1600,01,Central,0138,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0601 0917,29,M,O,101,STREET,,,IC,Invest Cont,440,,,,300 E  3RD                          ST,,34.048,-118.2438
100105844,02/04/2010 12:00:00 AM,02/01/2010 12:00:00 AM,0610,01,Central,0156,2,624,BATTERY - SIMPLE ASSAULT,0400,50,F,B,504,OTHER RESIDENCE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,500 S  SAN PEDRO                    ST,,34.0442,-118.2439
100105845,02/04/2010 12:00:00 AM,02/04/2010 12:00:00 AM,1000,01,Central,0176,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,26,M,O,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,700    MAPLE                        AV,,34.0424,-118.2493
100105850,02/04/2010 12:00:00 AM,01/30/2010 12:00:00 AM,1420,01,Central,0166,2,624,BATTERY - SIMPLE ASSAULT,0416 0417 0419,44,F,B,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,600    WALL                         ST,,34.0435,-118.2471
100105853,02/04/2010 12:00:00 AM,01/24/2010 12:00:00 AM,2146,01,Central,0162,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1501,99,M,W,404,DEPARTMENT STORE,,,IC,Invest Cont,440,,,,700 W  7TH                          ST,,34.048,-118.2577
100105858,02/05/2010 12:00:00 AM,02/04/2010 12:00:00 AM,1925,01,Central,0153,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0325,0,M,H,203,OTHER BUSINESS,,,AA,Adult Arrest,440,,,,500 S  BROADWAY,,34.0481,-118.2507
100105861,02/05/2010 12:00:00 AM,01/29/2010 12:00:00 AM,1000,01,Central,0129,1,330,BURGLARY FROM VEHICLE,0344 1609,36,M,O,101,STREET,,,IC,Invest Cont,330,,,,300 N  VIGNES                       ST,,34.0502,-118.2336
100105862,02/05/2010 12:00:00 AM,02/04/2010 12:00:00 AM,2230,01,Central,0171,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,22,F,H,710,OTHER PREMISE,,,IC,Invest Cont,440,,,,1000 S  FIGUEROA                     ST,,34.045,-118.264
100105863,02/05/2010 12:00:00 AM,02/04/2010 12:00:00 AM,2040,01,Central,0148,2,901,VIOLATION OF RESTRAINING ORDER,1501,56,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,901,,,,600 E  5TH                          ST,,34.0435,-118.2427
100105864,02/05/2010 12:00:00 AM,02/04/2010 12:00:00 AM,1705,01,Central,0156,2,624,BATTERY - SIMPLE ASSAULT,0416,41,F,O,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,6TH,SAN JULIAN,34.0423,-118.2452
100105865,02/05/2010 12:00:00 AM,02/04/2010 12:00:00 AM,0100,01,Central,0119,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,52,M,B,214,"BUS DEPOT/TERMINAL, OTHER THAN MTA",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,,,,800 N  ALAMEDA                      ST,,34.0563,-118.2374
100105869,02/05/2010 12:00:00 AM,02/05/2010 12:00:00 AM,0130,01,Central,0144,2,860,BATTERY WITH SEXUAL CONTACT,0500,49,F,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,MAIN                         ST,4TH                          ST,34.0482,-118.2472
100105872,02/05/2010 12:00:00 AM,02/05/2010 12:00:00 AM,0920,01,Central,0166,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421,57,F,B,710,OTHER PREMISE,,,IC,Invest Cont,930,,,,600    SAN JULIAN                   ST,,34.0428,-118.2461
100105873,02/05/2010 12:00:00 AM,02/05/2010 12:00:00 AM,0620,01,Central,0157,2,624,BATTERY - SIMPLE ASSAULT,0416,55,M,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,6TH                          ST,SAN PEDRO,34.0417,-118.2443
100105876,02/05/2010 12:00:00 AM,01/28/2010 12:00:00 AM,1215,01,Central,0166,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 0417 0903,47,M,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,6TH,SAN JULIAN,34.0423,-118.2452
100105878,02/05/2010 12:00:00 AM,01/03/2010 12:00:00 AM,1400,01,Central,0155,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,46,F,B,702,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,341,,,,500    MAPLE                        AV,,34.0454,-118.2466
100105881,02/05/2010 12:00:00 AM,02/05/2010 12:00:00 AM,1255,01,Central,0163,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 0429,55,M,H,123,PARKING UNDERGROUND/BUILDING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,700 S  SPRING                       ST,,34.0445,-118.2523
100105883,02/05/2010 12:00:00 AM,02/03/2010 12:00:00 AM,1705,01,Central,0195,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0601,49,M,A,203,OTHER BUSINESS,,,IC,Invest Cont,440,,,,1400 S  MAIN                         ST,,34.035,-118.2615
100105888,02/05/2010 12:00:00 AM,02/05/2010 12:00:00 AM,1345,01,Central,0152,2,762,LEWD CONDUCT,0529 0528,24,F,O,738,LIBRARY,,,IC,Invest Cont,762,,,,600 W  5TH                          ST,,34.0502,-118.254
100105889,02/05/2010 12:00:00 AM,02/05/2010 12:00:00 AM,1230,01,Central,0164,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,23,F,H,203,OTHER BUSINESS,,,IC,Invest Cont,745,,,,100 E  7TH                          ST,,34.0439,-118.2514
100105894,02/05/2010 12:00:00 AM,02/05/2010 12:00:00 AM,0645,01,Central,0157,1,330,BURGLARY FROM VEHICLE,0344 1302,40,M,B,101,STREET,,,IC,Invest Cont,330,,,,7TH,TOWNE,34.039,-118.2444
100105899,02/05/2010 12:00:00 AM,02/01/2010 12:00:00 AM,1000,01,Central,0153,2,946,OTHER MISCELLANEOUS CRIME,0601,70,M,K,201,JEWELRY STORE,,,IC,Invest Cont,946,,,,600 S  HILL                         ST,,34.0474,-118.2531
100105902,02/06/2010 12:00:00 AM,02/06/2010 12:00:00 AM,0100,01,Central,0101,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1000    ALPINE                       ST,,34.0649,-118.2465
100105906,02/06/2010 12:00:00 AM,02/05/2010 12:00:00 AM,2035,01,Central,0156,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,51,M,W,710,OTHER PREMISE,,,AA,Adult Arrest,745,,,,400 E  6TH                          ST,,34.0428,-118.2461
